month,topic_id,post_count,keywords_from_name_top4,in_top10_stack,stack_order_in_figure,plot_color_hex
2019-07-01,-1,216,"feel, know, time, people",False,,
2019-08-01,-1,308,"feel, know, time, people",False,,
2019-09-01,-1,301,"feel, know, time, people",False,,
2019-10-01,-1,325,"feel, know, time, people",False,,
2019-11-01,-1,318,"feel, know, time, people",False,,
2019-12-01,-1,346,"feel, know, time, people",False,,
2020-01-01,-1,376,"feel, know, time, people",False,,
2020-02-01,-1,348,"feel, know, time, people",False,,
2020-03-01,-1,341,"feel, know, time, people",False,,
2020-04-01,-1,334,"feel, know, time, people",False,,
2020-05-01,-1,399,"feel, know, time, people",False,,
2020-06-01,-1,345,"feel, know, time, people",False,,
2020-07-01,-1,394,"feel, know, time, people",False,,
2020-08-01,-1,360,"feel, know, time, people",False,,
2020-09-01,-1,276,"feel, know, time, people",False,,
2020-10-01,-1,295,"feel, know, time, people",False,,
2020-11-01,-1,366,"feel, know, time, people",False,,
2020-12-01,-1,106,"feel, know, time, people",False,,
2021-01-01,-1,774,"feel, know, time, people",False,,
2021-02-01,-1,1648,"feel, know, time, people",False,,
2021-03-01,-1,1750,"feel, know, time, people",False,,
2021-04-01,-1,2835,"feel, know, time, people",False,,
2021-05-01,-1,3442,"feel, know, time, people",False,,
2021-06-01,-1,3645,"feel, know, time, people",False,,
2021-07-01,-1,3601,"feel, know, time, people",False,,
2021-08-01,-1,3597,"feel, know, time, people",False,,
2021-09-01,-1,3400,"feel, know, time, people",False,,
2021-10-01,-1,8066,"feel, know, time, people",False,,
2021-11-01,-1,13175,"feel, know, time, people",False,,
2021-12-01,-1,11151,"feel, know, time, people",False,,
2019-07-01,0,3,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2019-08-01,0,3,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2019-09-01,0,11,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2019-10-01,0,8,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2019-11-01,0,8,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2019-12-01,0,12,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-01-01,0,7,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-02-01,0,6,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-03-01,0,6,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-04-01,0,4,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-05-01,0,12,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-06-01,0,8,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-07-01,0,5,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-08-01,0,14,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-09-01,0,13,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-10-01,0,11,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-11-01,0,11,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2020-12-01,0,3,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2021-01-01,0,3,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2021-02-01,0,49,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
2021-03-01,0,59,"adderall, taking, vyvanse, meds",True,1.0,#E69F00
